environment,trigger,premise,hypothesis,predifined_label,human_selection,match
conditional,again,If the kid had hit the ball with the bat again%2C the assistant could have cast bronze into a statue., The kid had not hit the ball with the bat before.,contradiction,contradiction,1
conditional,csv,If the girl had stopped putting the book on the shelf%2C the child would have split the log., The girl had not been putting the book on the shelf.,contradiction,contradiction,1
question,factive,Did the worker remember hitting the ball with the bat?, The worker did not hit the ball with the bat.,contradiction,contradiction,1
conditional,csv,If the kid had kept upsetting the boat%2C the teacher could have spread the rumor., The kid had been upsetting the boat.,entailment,entailment,1
unembedded,factive,The girl forgot reading the letter., The girl read the letter.,entailment,entailment,1
unembedded,manner,The kid set the dish on the table quietly., The kid set the dish on the table.,entailment,entailment,1
neg,csv,The athlete did not quit letting the blinds down., The athlete had been letting the blinds down.,entailment,entailment,1
conditional,csv,If the dancer had gave up bursting into the room%2C the kid would have upset the boat., The dancer had not been bursting into the room.,contradiction,contradiction,1
conditional,again,If the athlete had split the log again%2C the kid would have spread the rumor., The athlete had split the log before.,entailment,entailment,1
conditional,factive,If the girl had regretted spreading the rumor%2C the director would have cast bronze into a statue., The girl spread the rumor.,entailment,contradiction,0
neg,csv,The director did not keep reading the letter., The director had been reading the letter.,entailment,entailment,1
unembedded,csv,The assistant quit hurting others., The assistant had been hurting others.,entailment,entailment,1
conditional,factive,If the worker had regretted bursting into the room%2C the stranger could have upset the boat., The worker did not burst into the room.,contradiction,contradiction,1
question,csv,Did the director continue setting the dish on the table?, The director had been setting the dish on the table.,entailment,entailment,1
question,csv,Did the worker continue bursting into the room?, The worker had not been bursting into the room.,contradiction,contradiction,1
neg,again,The child did not burst into the room again., The child had not burst into the room before.,contradiction,entailment,0
unembedded,again,The professor let the blinds down again., The professor had not let the blinds down before.,contradiction,contradiction,1
unembedded,again,The dancer upset the boat again., The dancer had not upset the boat before.,contradiction,contradiction,1
unembedded,manner,The worker let the blinds down slowly., The worker let the blinds down.,entailment,entailment,1
question,manner,Did the director cast bronze into a statue anxiously?, The director did not cast bronze into a statue.,contradiction,contradiction,1
neg,again,The child did not set the dish on the table again., The child had set the dish on the table before.,entailment,contradiction,0
question,csv,Did the kid stop shutting the door?, The kid had not been shutting the door.,contradiction,neutral,0
question,factive,Did the boy regret slitting the envelope?, The boy slit the envelope.,entailment,neutral,0
question,again,Did the boy hurt others again?, The boy had hurt others before.,entailment,entailment,1
unembedded,temporal,The dancer burst into the room while slitting the envelope., The dancer did not slit the envelope.,contradiction,contradiction,1
neg,again,The professor did not cast bronze into a statue again., The professor had cast bronze into a statue before.,entailment,entailment,1
conditional,factive,If the manager had remembered shedding tears%2C the dancer could have read the letter., The manager did not shed tears.,contradiction,contradiction,1
unembedded,factive,The worker forgot betting $100 on the race.,The worker did not bet $100 on the race.,contradiction,contradiction,1
question,again,Did the professor cast bronze into a statue again?, The professor had not cast bronze into a statue before.,contradiction,contradiction,1
neg,factive,The man did not regret thrusting the fork into the cake., The man did not thrust the fork into the cake.,contradiction,contradiction,1
conditional,manner,If the singer had hurt others anxiously%2C the manager would have shed tears., The singer did not hurt others.,contradiction,contradiction,1
conditional,factive,If the teacher had remembered shutting the door%2C the stranger would have burst into the room., The teacher did not shut the door.,contradiction,contradiction,1
